Airline,Market,All_Detected_Brands,Identified_Basic_Economy_Brand,Confidence_Level,BE_Score
AA,DEN-SJC,"MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN",MAIN CABIN|MAIN CABIN,High,75
AA,DFW-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-EWR,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DFW-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,DTW-LGA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-CLT,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-DFW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,EWR-PHX,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,FLL-ORD,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,FLL-PHL,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-AUS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-BNA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-BOS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-CLT,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-DCA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-DFW,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-LAS,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-LAX,FLAGSHIP BUSINESS,FLAGSHIP BUSINESS,Low,45
AA,JFK-MIA,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,JFK-SFO,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-MCO,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-RDU,"BASIC ECONOMY, MAIN CABIN",BASIC ECONOMY,High,75
AA,LAX-SJC,"MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN",MAIN CABIN|MAIN CABIN,High,75
AA,MIA-SEA,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN|MAIN CABIN",MAIN CABIN,High,75
AA,ORD-PDX,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|Unknown, MAIN CABIN|MAIN CABIN, MAIN CABIN|Unknown",MAIN CABIN,High,75
AA,ORD-SEA,"MAIN CABIN, MAIN CABIN FLEXIBLE, MAIN CABIN FLEXIBLE|Unknown, MAIN CABIN|Unknown",MAIN CABIN,High,75
AS,DEN-SJC,"DELTA MAIN|DELTA MAIN, ECONOMY, ECONOMY FULLY REFUNDABLE, MAIN|MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER|SAVER",SAVER|SAVER,High,95
AS,LAX-SJC,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,MIA-SEA,"MAIN, SAVER",SAVER,High,95
AS,ORD-PDX,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,ORD-SEA,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
B6,BOS-MIA,"BLUE, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE,Medium,60
B6,BOS-MSY,"BLUE, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE,Medium,60
B6,BOS-ORD,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-PDX,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-PHL,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-RSW,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-SAN,"MINT, MINT REFUNDABLE",MINT,Low,40
B6,BOS-SEA,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-SFO,"MINT, MINT REFUNDABLE",MINT,Low,40
B6,BOS-SLC,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-SMF,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BOS-TPA,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,BUR-JFK,"BLUE, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE,Medium,60
B6,CLE-BOS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,DCA-BOS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ABQ,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ATL,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BNA,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BOS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-BUR,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-DCA,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-DEN,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-DTW,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-LAS,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE, MINT, MINT REFUNDABLE",BLUE BASIC,High,75
B6,JFK-LAX,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE, MINT, MINT REFUNDABLE",BLUE BASIC,High,75
B6,JFK-MCO,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-MSY,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ONT,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-ORD,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-PHX,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-RDU,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
B6,JFK-RSW,"BLUE, BLUE BASIC, BLUE EXTRA, BLUE EXTRA REFUNDABLE, BLUE REFUNDABLE",BLUE BASIC,High,75
